Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,41454761
"Population, total",SP.POP.TOTL,Albania,ALB,2414095
"Population, total",SP.POP.TOTL,Algeria,DZA,46164219
"Population, total",SP.POP.TOTL,American Samoa,ASM,47521
"Population, total",SP.POP.TOTL,Andorra,AND,80856
"Population, total",SP.POP.TOTL,Angola,AGO,36749906
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,93316
"Population, total",SP.POP.TOTL,Argentina,ARG,45538401
"Population, total",SP.POP.TOTL,Armenia,ARM,2964300
"Population, total",SP.POP.TOTL,Aruba,ABW,107359
"Population, total",SP.POP.TOTL,Australia,AUS,26659922
"Population, total",SP.POP.TOTL,Austria,AUT,9131761
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10153958
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,399440
"Population, total",SP.POP.TOTL,Bahrain,BHR,1577059
"Population, total",SP.POP.TOTL,Bangladesh,BGD,171466990
"Population, total",SP.POP.TOTL,Barbados,BRB,282336
"Population, total",SP.POP.TOTL,Belarus,BLR,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,11779946
"Population, total",SP.POP.TOTL,Belize,BLZ,411106
"Population, total",SP.POP.TOTL,Benin,BEN,14111034
"Population, total",SP.POP.TOTL,Bermuda,BMU,64698
"Population, total",SP.POP.TOTL,Bhutan,BTN,786385
"Population, total",SP.POP.TOTL,Bolivia,BOL,12244159
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3185073
"Population, total",SP.POP.TOTL,Botswana,BWA,2480244
"Population, total",SP.POP.TOTL,Brazil,BRA,211140729
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,38985
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,458949
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6446596
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,23025776
"Population, total",SP.POP.TOTL,Burundi,BDI,13689450
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,522331
"Population, total",SP.POP.TOTL,Cambodia,KHM,17423880
"Population, total",SP.POP.TOTL,Cameroon,CMR,28372687
"Population, total",SP.POP.TOTL,Canada,CAN,40083484
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,73038
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5152421
"Population, total",SP.POP.TOTL,Chad,TCD,19319064
"Population, total",SP.POP.TOTL,Channel Islands,CHI,167691
"Population, total",SP.POP.TOTL,Chile,CHL,19658835
"Population, total",SP.POP.TOTL,China,CHN,1410710000
"Population, total",SP.POP.TOTL,Colombia,COL,52321152
"Population, total",SP.POP.TOTL,Comoros,COM,850387
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,105789731
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,6182885
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5105525
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,31165654
"Population, total",SP.POP.TOTL,Croatia,HRV,3859686
"Population, total",SP.POP.TOTL,Cuba,CUB,11019931
"Population, total",SP.POP.TOTL,Curacao,CUW,154654
"Population, total",SP.POP.TOTL,Cyprus,CYP,1344976
"Population, total",SP.POP.TOTL,Czechia,CZE,10864042
"Population, total",SP.POP.TOTL,Denmark,DNK,5946952
"Population, total",SP.POP.TOTL,Djibouti,DJI,1152944
"Population, total",SP.POP.TOTL,Dominica,DMA,66510
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,11331265
"Population, total",SP.POP.TOTL,Ecuador,ECU,17980083
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,114535772
"Population, total",SP.POP.TOTL,El Salvador,SLV,6309624
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1847549
"Population, total",SP.POP.TOTL,Eritrea,ERI,3470390
"Population, total",SP.POP.TOTL,Estonia,EST,1370286
"Population, total",SP.POP.TOTL,Ethiopia,ETH,128691692
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,54414
"Population, total",SP.POP.TOTL,Fiji,FJI,924145
"Population, total",SP.POP.TOTL,Finland,FIN,5583911
"Population, total",SP.POP.TOTL,France,FRA,68372286
"Population, total",SP.POP.TOTL,French Polynesia,PYF,281118
"Population, total",SP.POP.TOTL,Gabon,GAB,2484789
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2697845
"Population, total",SP.POP.TOTL,Georgia,GEO,3715483
"Population, total",SP.POP.TOTL,Germany,DEU,83287273
"Population, total",SP.POP.TOTL,Ghana,GHA,33787914
"Population, total",SP.POP.TOTL,Gibraltar,GIB,38471
"Population, total",SP.POP.TOTL,Greece,GRC,10407351
"Population, total",SP.POP.TOTL,Greenland,GRL,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,117081
"Population, total",SP.POP.TOTL,Guam,GUM,166506
"Population, total",SP.POP.TOTL,Guatemala,GTM,18124838
