name, pieces, minifigs, image
Brick Bank,2380,5,https://images.brickset.com/sets/small/10251-1.jpg?201510121127
Volkswagen Beetle,1167,None,https://images.brickset.com/sets/small/10252-1.jpg?201606140214
Big Ben,4163,None,https://images.brickset.com/sets/small/10253-1.jpg?201605190256
Winter Holiday Train,734,5,https://images.brickset.com/sets/small/10254-1.jpg?201608110306
XL Creative Brick Box,1600,None,https://images.brickset.com/sets/small/10654-1.jpg?201609271134
Creative Building Set,583,None,https://images.brickset.com/sets/small/10702-1.jpg?201511230710
Creative Building Basket,1000,None,https://images.brickset.com/sets/small/10705-1.jpg?201605201119
Police Helicopter Chase,63,2,https://images.brickset.com/sets/small/10720-1.jpg?201601050913
Iron Man vs. Loki,66,2,https://images.brickset.com/sets/small/10721-1.jpg?201601050913
Snake Showdown,92,2,https://images.brickset.com/sets/small/10722-1.jpg?201601050913
Ariel's Dolphin Carriage,70,1,https://images.brickset.com/sets/small/10723-1.jpg?201601050913
Batman & Superman vs. Lex Luthor,164,3,https://images.brickset.com/sets/small/10724-1.jpg?201605201119
Lost Temple,172,3,https://images.brickset.com/sets/small/10725-1.jpg?201601050913
Stephanie's Horse Carriage,58,1,https://images.brickset.com/sets/small/10726-1.jpg?201605201119
Emma's Ice Cream Truck,136,2,https://images.brickset.com/sets/small/10727-1.jpg?201605201119
Mia's Vet Clinic,173,2,https://images.brickset.com/sets/small/10728-1.jpg?201605201119
Cinderella's Carriage,116,2,https://images.brickset.com/sets/small/10729-1.jpg?201601050913
Baby Animals,13,None,https://images.brickset.com/sets/small/10801-1.jpg?201511230710
Savanna,18,1,https://images.brickset.com/sets/small/10802-1.jpg?201511230710
Arctic,40,2,https://images.brickset.com/sets/small/10803-1.jpg?201511230710
Jungle,86,2,https://images.brickset.com/sets/small/10804-1.jpg?201511230710
Around the World,163,5,https://images.brickset.com/sets/small/10805-1.jpg?201601050913
Horses,20,1,https://images.brickset.com/sets/small/10806-1.jpg?201511230710
Horse Trailer,15,2,https://images.brickset.com/sets/small/10807-1.jpg?201511230710
Little Plane,13,1,https://images.brickset.com/sets/small/10808-1.jpg?201511230710
Police Patrol,15,2,https://images.brickset.com/sets/small/10809-1.jpg?201511230710
Push Train,45,2,https://images.brickset.com/sets/small/10810-1.jpg?201605201119
Backhoe Loader,19,1,https://images.brickset.com/sets/small/10811-1.jpg?201605201119
Truck & Tracked Excavator,28,2,https://images.brickset.com/sets/small/10812-1.jpg?201605201119
Big Construction Site,67,3,https://images.brickset.com/sets/small/10813-1.jpg?201605201119
Tow Truck,28,2,https://images.brickset.com/sets/small/10814-1.jpg?201511230710
My First Rocket,18,None,https://images.brickset.com/sets/small/10815-1.jpg?201511230710
My First Cars and Trucks,36,None,https://images.brickset.com/sets/small/10816-1.jpg?201511230710
Creative Chest,70,None,https://images.brickset.com/sets/small/10817-1.jpg?201511230710
My First Truck,29,2,https://images.brickset.com/sets/small/10818-1.jpg?201511230710
My First Garden,25,2,https://images.brickset.com/sets/small/10819-1.jpg?201511230710
Creative Construction Basket,110,2,https://images.brickset.com/sets/small/10820-1.jpg?201605201119
Sofia the First Magical Carriage,30,1,https://images.brickset.com/sets/small/10822-1.jpg?201605201119
Miles' Space Adventures,23,1,https://images.brickset.com/sets/small/10824-1.jpg?201511230710
Miles' Exo-Flex Suit,37,1,https://images.brickset.com/sets/small/10825-1.jpg?201605201119
Miles' Stellosphere Hangar,44,1,https://images.brickset.com/sets/small/10826-1.jpg?201511230710
Mickey & Friends Beach House,48,3,https://images.brickset.com/sets/small/10827-1.jpg?201605200842
